date,AAPL,MSFT,GOOGL,META
2024-01-16,183.63,390.27,142.49,367.46
2024-01-17,182.68,389.47,141.47,368.37
2024-01-18,188.63,393.87,143.48,376.13
2024-01-19,191.56,398.67,146.38,383.45
2024-01-22,193.89,396.51,145.99,381.78
2024-01-23,195.18,398.9,147.04,385.2
2024-01-24,194.5,402.56,148.7,390.7
2024-01-25,194.17,404.87,151.87,393.18
2024-01-26,192.42,403.93,152.185,394.14
2024-01-29,191.73,409.72,153.51,401.02
2024-01-30,188.04,408.59,151.46,400.06
2024-01-31,184.4,397.58,140.1,390.14
2024-02-01,186.86,403.78,141.16,394.78
2024-02-02,185.85,411.22,142.38,474.99
2024-02-05,187.68,405.65,143.68,459.41
2024-02-06,189.3,405.49,144.1,454.72
2024-02-07,189.41,414.05,145.54,469.59
2024-02-08,188.32,414.11,145.91,470.0
2024-02-09,188.85,420.55,149.0,468.11
2024-02-12,187.15,415.26,147.53,468.9
2024-02-13,185.04,406.32,145.14,460.12
2024-02-14,184.15,409.49,145.94,473.28
2024-02-15,183.86,406.56,142.77,484.03
2024-02-16,182.31,404.06,140.52,473.32
2024-02-20,181.56,402.79,141.12,471.75
2024-02-21,182.32,402.18,142.55,468.03
2024-02-22,184.37,411.65,144.09,486.13
2024-02-23,182.52,410.34,143.96,484.03
2024-02-26,181.16,407.54,137.57,481.74
2024-02-27,182.63,407.48,138.88,487.05
2024-02-28,181.42,407.72,136.38,484.02
2024-02-29,180.75,413.64,138.46,490.13
2024-03-01,179.66,415.5,137.14,502.3
2024-03-04,175.1,414.92,133.35,498.19
2024-03-05,170.12,402.65,132.67,490.22
2024-03-06,169.12,402.09,131.4,496.09
2024-03-07,169.0,409.14,134.38,512.19
2024-03-08,170.73,406.22,135.41,505.95
2024-03-11,172.75,404.52,137.67,483.59
2024-03-12,173.23,415.28,138.5,499.75
2024-03-13,171.13,415.1,139.79,495.57
2024-03-14,173.0,425.22,143.1,491.83
2024-03-15,172.62,416.42,141.18,484.1
2024-03-18,173.72,417.32,147.68,496.98
2024-03-19,176.08,421.41,147.03,496.24
2024-03-20,178.67,425.23,148.74,505.52
2024-03-21,171.37,429.37,147.6,507.76
2024-03-22,172.28,428.74,150.77,509.58
2024-03-25,170.85,422.86,150.07,503.02
2024-03-26,169.71,421.65,150.67,495.89
2024-03-27,173.31,421.43,150.87,493.86
2024-03-28,171.48,420.72,150.93,485.58
2024-04-01,170.03,424.57,155.49,491.35
2024-04-02,168.84,421.44,154.56,497.37
2024-04-03,169.65,420.45,154.92,506.74
2024-04-04,168.82,417.88,150.53,510.92
2024-04-05,169.58,425.52,152.5,527.34
2024-04-08,168.45,424.59,154.85,519.25
2024-04-09,169.67,426.28,156.6,516.9
2024-04-10,167.78,423.26,156.14,519.83
2024-04-11,175.04,427.93,159.41,523.16
2024-04-12,176.55,421.9,157.73,511.9
2024-04-15,172.69,413.64,154.86,500.23
2024-04-16,169.38,414.58,154.4,499.76
2024-04-17,168.0,411.84,155.47,494.17
2024-04-18,167.04,404.27,156.01,501.8
2024-04-19,165.0,399.12,154.09,481.07
2024-04-22,165.84,400.96,156.28,481.73
2024-04-23,166.9,407.57,158.26,496.1
